letter,french,english
A,6.394158386028305e-02,6.420160709236676e-02
B,6.494027903241995e-03,1.120039402037596e-02
C,2.211934156378601e-02,1.827816744041810e-02
D,2.981782595603734e-02,3.643776393436642e-02
E,1.254140319180970e-01,9.698191337024234e-02
F,8.624410318177256e-03,1.643575734911847e-02
G,7.096256147746663e-03,1.802278386340627e-02
H,6.669677807889190e-03,4.987276425359589e-02
I,6.040600220817023e-02,5.186110781747371e-02
J,3.573220917394359e-03,8.482383093607202e-04
K,1.179363645488307e-04,7.178102682439643e-03
L,4.852705008531567e-02,3.165844270743075e-02
M,2.548429187995584e-02,2.014794005782614e-02
N,5.771855866706815e-02,5.612966189038572e-02
O,4.261266686740942e-02,5.989656965131021e-02
P,2.185335742246311e-02,1.244082853729056e-02
Q,9.776171835792432e-03,6.931839947463949e-04
R,5.287062129880558e-02,4.911573436459654e-02
S,6.692010438622904e-02,4.865057142075356e-02
T,5.846381611964268e-02,6.916334516002517e-02
U,5.182926829268292e-02,2.213628362170396e-02
V,1.415236374585968e-02,7.442607101487610e-03
W,1.505570611261668e-05,1.712894134386487e-02
X,3.967178560674496e-03,9.394467297220879e-04
Y,3.354913178761417e-03,1.585202345880572e-02
Z,1.844323998795544e-03,3.648336814454710e-04
period,7.216701796647596e-03,1.094501044336413e-02
comma,1.331677205660945e-02,1.831465080856265e-02
space,1.777953427682425e-01,1.864300112186357e-01
apostrophe,8.007126367559972e-03,1.231313674878465e-03
